Model,Target,Horizon,Experiment,MAE
LSTM,Price,0,Exp11_Weather_Grid_Gridlags_Prices,81.2591
LSTM,Price,0,Exp13_Total_Information,60.4758
LSTM,Price,0,Exp6_Weather_WeatherLags_Grid,57.3235
LSTM,Price,24,Exp10_Weather_WeatherLags_Grid_Gridlags,99.6851
LSTM,Price,24,Exp11_Weather_Grid_Gridlags_Prices,125.9425
LSTM,Price,24,Exp12_Weather_WeatherLags_Grid_Gridlags_Prices,74.0989
LSTM,Price,24,Exp13_Total_Information,99.9895
LSTM,Price,24,Exp1_Weather_Only,45.4443
LSTM,Price,24,Exp2_Weather_WeatherLags_Only,45.6508
LSTM,Price,24,Exp3_Weather_Prices,22.7115
LSTM,Price,24,Exp4_Weather_WeatherLags_Prices,23.4653
LSTM,Price,24,Exp5_Weather_Grid,183.137
LSTM,Price,24,Exp6_Weather_WeatherLags_Grid,249.7512
LSTM,Price,24,Exp7_Weather_Grid_Prices,183.9657
LSTM,Price,24,Exp8_Weather_WeatherLags_Grid_Prices,83.627
LSTM,Price,24,Exp9_Weather_Grid_Gridlags,95.7174
LSTM,Price,48,Exp13_Total_Information,118.6952
LSTM,Price,48,Exp3_Weather_Prices,26.8587
LSTM,Price,48,Exp6_Weather_WeatherLags_Grid,353.5743
LSTM,Price,72,Exp13_Total_Information,72.1522
LSTM,Price,72,Exp3_Weather_Prices,27.6751
LSTM,Price,72,Exp6_Weather_WeatherLags_Grid,95.1143
LSTM,Price,96,Exp13_Total_Information,109.3265
LSTM,Price,96,Exp3_Weather_Prices,28.9077
LSTM,Price,96,Exp6_Weather_WeatherLags_Grid,137.9489
LSTM,Price,120,Exp13_Total_Information,136.8983
LSTM,Price,120,Exp3_Weather_Prices,28.8505
LSTM,Price,120,Exp6_Weather_WeatherLags_Grid,145.5233
LSTM,Price,144,Exp13_Total_Information,165.4126
LSTM,Price,144,Exp3_Weather_Prices,28.9675
LSTM,Price,144,Exp4_Weather_WeatherLags_Prices,29.1677
LSTM,Price,144,Exp6_Weather_WeatherLags_Grid,100.8193
LSTM,Price,168,Exp13_Total_Information,142.1112
LSTM,Price,168,Exp3_Weather_Prices,29.2751
LSTM,Price,168,Exp6_Weather_WeatherLags_Grid,99.5569
LSTM,Delta,24,Exp10_Weather_WeatherLags_Grid_Gridlags,58.6714
LSTM,Delta,24,Exp11_Weather_Grid_Gridlags_Prices,48.2205
LSTM,Delta,24,Exp12_Weather_WeatherLags_Grid_Gridlags_Prices,58.4903
LSTM,Delta,24,Exp13_Total_Information,37.952
LSTM,Delta,24,Exp1_Weather_Only,22.0019
LSTM,Delta,24,Exp2_Weather_WeatherLags_Only,22.3067
LSTM,Delta,24,Exp3_Weather_Prices,22.0161
LSTM,Delta,24,Exp4_Weather_WeatherLags_Prices,22.4552
