Model,Base_Experiment,BMW,Total_Kept,Total_Dropped,Weather,WeatherLags,Grid,GridLags,GridExchange,GridExchangeLags,Prices,PriceLags,Time,Imputed_Flag,Other
CatBoost,Exp8_Weather_WeatherLags_Grid_Prices,Best,28,57,8,9,15,0,4,0,0,0,0,4,17
CatBoost,Exp2_Weather_WeatherLags_Only,Worst,27,31,8,9,0,0,0,0,0,0,0,0,14
LightGBM,Exp4_Weather_WeatherLags_Prices,Best,34,28,5,7,0,0,0,0,0,1,0,0,15
LightGBM,Exp2_Weather_WeatherLags_Only,Worst,35,24,5,7,0,0,0,0,0,0,0,0,12
XGBoost,Exp4_Weather_WeatherLags_Prices,Best,43,25,6,7,0,0,0,0,0,0,0,0,12
XGBoost,Exp2_Weather_WeatherLags_Only,Worst,45,23,6,7,0,0,0,0,0,0,0,0,10
RandomForest,Exp8_Weather_WeatherLags_Grid_Prices,Best,23,61,8,9,18,0,5,0,0,0,0,4,17
RandomForest,Exp2_Weather_WeatherLags_Only,Worst,23,32,8,7,0,0,0,0,0,0,0,0,17
LSTM,Exp1_Weather_Only,Best,20,6,0,0,0,0,0,0,0,0,0,0,6
LSTM,Exp6_Weather_WeatherLags_Grid,Mean,25,46,7,7,12,0,4,0,0,0,0,4,12
LSTM,Exp9_Weather_Grid_Gridlags,Worst,33,60,9,0,12,18,5,2,0,0,0,4,10
GRU,Exp1_Weather_Only,Best,41,13,7,0,0,0,0,0,0,0,0,0,6
GRU,Exp13_Total_Information,Mean,44,0,0,0,0,0,0,0,0,0,0,0,0
GRU,Exp9_Weather_Grid_Gridlags,Worst,45,52,9,0,11,12,4,4,0,0,0,4,8
Transformer,Exp1_Weather_Only,Best,21,5,1,0,0,0,0,0,0,0,0,0,4
Transformer,Exp13_Total_Information,Mean,38,0,0,0,0,0,0,0,0,0,0,0,0
Transformer,Exp12_Weather_WeatherLags_Grid_Gridlags_Prices,Worst,35,73,8,8,11,16,5,5,0,0,0,4,16
AutoGluon,Exp13_Total_Information,Best,36,0,0,0,0,0,0,0,0,0,0,0,0
AutoGluon,Exp7_Weather_Grid_Prices,Mean,31,32,6,0,9,0,5,0,0,1,0,4,7
AutoGluon,Exp5_Weather_Grid,Worst,19,36,8,0,11,0,6,0,0,0,0,4,7
