Model,Base_Experiment,BMW,Total_Kept,Total_Dropped,Weather,WeatherLags,Grid,GridLags,GridExchange,GridExchangeLags,Prices,PriceLags,Time,Imputed_Flag,Other
CatBoost,Exp11_Weather_Grid_Gridlags_Prices,Best,33,65,7,0,15,20,4,5,0,0,0,4,10
CatBoost,Exp10_Weather_WeatherLags_Grid_Gridlags,Mean,33,71,7,6,14,20,4,6,0,0,0,4,10
CatBoost,Exp1_Weather_Only,Worst,32,12,7,0,0,0,0,0,0,0,0,0,5
LightGBM,Exp11_Weather_Grid_Gridlags_Prices,Best,42,56,7,0,11,17,4,4,0,0,0,4,9
LightGBM,Exp10_Weather_WeatherLags_Grid_Gridlags,Mean,41,64,6,6,12,18,4,4,0,0,0,4,10
LightGBM,Exp1_Weather_Only,Worst,39,14,6,0,0,0,0,0,0,0,0,0,8
XGBoost,Exp11_Weather_Grid_Gridlags_Prices,Best,45,52,5,0,10,14,5,4,0,0,0,4,10
XGBoost,Exp10_Weather_WeatherLags_Grid_Gridlags,Mean,42,63,5,9,10,14,5,5,0,0,0,4,11
XGBoost,Exp1_Weather_Only,Worst,44,11,5,0,0,0,0,0,0,0,0,0,6
RandomForest,Exp11_Weather_Grid_Gridlags_Prices,Best,30,64,4,0,13,20,4,6,0,0,0,4,13
RandomForest,Exp10_Weather_WeatherLags_Grid_Gridlags,Mean,37,68,4,6,11,19,4,6,0,0,0,4,14
RandomForest,Exp1_Weather_Only,Worst,30,16,7,0,0,0,0,0,0,0,0,0,9
LSTM,Exp3_Weather_Prices,Best,27,7,0,0,0,0,0,0,0,0,0,0,7
LSTM,Exp13_Total_Information,Mean,49,0,0,0,0,0,0,0,0,0,0,0,0
LSTM,Exp6_Weather_WeatherLags_Grid,Worst,29,42,8,7,6,0,4,0,0,0,0,4,13
GRU,Exp3_Weather_Prices,Best,52,16,6,0,0,0,0,0,0,0,0,0,10
GRU,Exp12_Weather_WeatherLags_Grid_Gridlags_Prices,Mean,49,59,6,7,10,14,1,2,0,0,0,4,15
GRU,Exp10_Weather_WeatherLags_Grid_Gridlags,Worst,35,65,9,9,10,15,2,3,0,0,0,4,13
Transformer,Exp3_Weather_Prices,Best,46,17,5,0,0,0,0,0,0,0,0,0,12
Transformer,Exp5_Weather_Grid,Mean,26,29,5,0,6,0,4,0,0,0,0,4,10
Transformer,Exp1_Weather_Only,Worst,14,12,3,0,0,0,0,0,0,0,0,0,9
AutoGluon,Exp13_Total_Information,Best,43,0,0,0,0,0,0,0,0,0,0,0,0
AutoGluon,Exp10_Weather_WeatherLags_Grid_Gridlags,Mean,41,59,5,6,13,14,3,5,0,0,0,4,9
AutoGluon,Exp1_Weather_Only,Worst,13,13,4,0,0,0,0,0,0,0,0,0,9
